NAME,COUNTRY,LON,LAT
SHANGHAI,CHINA,121.5,31.2167
SINGAPORE,SINGAPORE,103.85,1.2833
COLOMBO,SRI LANKA,79.85,6.95
MANILA,PHILIPPINES,120.97,14.5833
SANTOS,BRAZIL,-46.3,-23.95
PORT SAID,EGYPT,32.25,31.2386733
YOKOHAMA,JAPAN,139.58,35.45
BALBOA,PANAMA,-79.57,8.95
MELBOURNE,AUSTRALIA,144.97,-37.8333
DURBAN,SOUTH AFRICA,-60.2,46.15
SYDNEY,AUSTRALIA,-60.2,46.15
OAKLAND,UNITED STATES,-122.33,37.8167
CALLAO,PERU,-77.15,-12.0385954
SINES,PORTUGAL,-8.86,37.9575108
GDANSK,POLAND,18.67,54.35
